 EpsilonGreedy Cumulative Reward: 418.0
EpsilonGreedy Total Regret: 31.999999999999467
UCB Cumulative Reward: 369.0
UCB Total Regret: 81.00000000000044
ThompsonSampling Cumulative Reward: 423.0
ThompsonSampling Total Regret: 26.999999999999346
EpsilonGreedy Cumulative Reward: 437.0
EpsilonGreedy Total Regret: 13.000000000000153
UCB Cumulative Reward: 381.0
UCB Total Regret: 68.99999999999997
ThompsonSampling Cumulative Reward: 445.0
ThompsonSampling Total Regret: 5.000000000000149
bernoulli | EpsilonGreedy | Run 0 | Cumulative Reward: 152.0 | Total Regret: 28.0
bernoulli | EpsilonGreedy | Run 1 | Cumulative Reward: 102.0 | Total Regret: 78.00000000000003
bernoulli | EpsilonGreedy | Run 2 | Cumulative Reward: 110.0 | Total Regret: 70.00000000000001
bernoulli | EpsilonGreedy | Run 3 | Cumulative Reward: 167.0 | Total Regret: 13.000000000000004
bernoulli | EpsilonGreedy | Run 4 | Cumulative Reward: 71.0 | Total Regret: 109.00000000000003
bernoulli | EpsilonGreedy | Run 5 | Cumulative Reward: 147.0 | Total Regret: 33.000000000000014
bernoulli | EpsilonGreedy | Run 6 | Cumulative Reward: 69.0 | Total Regret: 111.00000000000003
bernoulli | EpsilonGreedy | Run 7 | Cumulative Reward: 165.0 | Total Regret: 15.0
bernoulli | EpsilonGreedy | Run 8 | Cumulative Reward: 129.0 | Total Regret: 51.00000000000001
bernoulli | EpsilonGreedy | Run 9 | Cumulative Reward: 122.0 | Total Regret: 58.000000000000014
bernoulli | KL-UCB | Run 0 | Cumulative Reward: 167.0 | Total Regret: 12.999999999999998
bernoulli | KL-UCB | Run 1 | Cumulative Reward: 161.0 | Total Regret: 19.0
bernoulli | KL-UCB | Run 2 | Cumulative Reward: 170.0 | Total Regret: 10.0
bernoulli | KL-UCB | Run 3 | Cumulative Reward: 165.0 | Total Regret: 15.0
bernoulli | KL-UCB | Run 4 | Cumulative Reward: 166.0 | Total Regret: 13.999999999999998
bernoulli | KL-UCB | Run 5 | Cumulative Reward: 162.0 | Total Regret: 18.0
bernoulli | KL-UCB | Run 6 | Cumulative Reward: 155.0 | Total Regret: 25.0
bernoulli | KL-UCB | Run 7 | Cumulative Reward: 172.0 | Total Regret: 8.000000000000002
bernoulli | KL-UCB | Run 8 | Cumulative Reward: 168.0 | Total Regret: 11.999999999999998
